"name_data","gross_data","prod_data","release_data","perc_return","days_since_jan_1"
"Wild Wild West",222104681,1.7e+08,1999-06-30,130.649812352941,180
"Geostorm",221600160,1.2e+08,2017-10-20,184.6668,292
"Scary Movie 3",220673217,4.8e+07,2003-10-24,459.73586875,296
"Elf",220443451,3.3e+07,2003-11-07,668.010457575758,310
"Inferno",220021259,7.5e+07,2016-10-28,293.361678666667,301
"Green Lantern",219851172,2e+08,2011-06-17,109.925586,167
"The Terminal",219417255,6e+07,2004-06-18,365.695425,169
"What Happens in Vegas",219375797,3.5e+07,2008-05-09,626.787991428571,129
"It's Complicated",219103655,8.5e+07,2009-12-25,257.769005882353,358
"Knocked Up",219076518,3e+07,2007-06-01,730.25506,151
"Captain Phillips",218791811,5.5e+07,2013-10-11,397.803292727273,283
"The Prince of Egypt",218613188,7e+07,1998-12-18,312.304554285714,351
"Jack Reacher",218340595,6e+07,2012-12-21,363.900991666667,355
"The Emoji Movie",217776646,5e+07,2017-07-28,435.553292,208
"Collateral",217764291,6.5e+07,2004-08-06,335.021986153846,218
"Dracula Untold",217124280,7e+07,2014-10-10,310.177542857143,282
"Central Intelligence",216972543,5e+07,2016-06-17,433.945086,168
"Million Dollar Baby",216763646,3e+07,2004-12-15,722.545486666667,349
"Ted 2",216691733,6.8e+07,2015-06-26,318.664313235294,176
"The Help",216639112,2.5e+07,2011-08-10,866.556448,221
"Twins",216614388,1.5e+07,1988-12-09,1444.09592,343
"Valentine's Day",216485654,5.2e+07,2010-02-12,416.318565384615,42
"Bad Teacher",216197492,2e+07,2011-06-24,1080.98746,174
"Clear and Present Danger",215887717,6.2e+07,1994-08-05,348.20599516129,216
"Bram Stoker's Dracula",215862692,4e+07,1992-11-13,539.65673,317
"Vertical Limit",215663859,7.5e+07,2000-12-08,287.551812,342
"The Patriot",215294342,1.1e+08,2000-06-28,195.722129090909,179
"The Sorcerer's Apprentice",215283742,1.5e+08,2010-07-14,143.522494666667,194
"Just Go With It",214945591,8e+07,2011-02-11,268.68198875,41
"Public Enemies",214104620,1e+08,2009-07-01,214.10462,181
"The Bourne Identity",214034224,6e+07,2002-06-14,356.723706666667,164
"Disclosure",214015089,5.5e+07,1994-12-09,389.118343636364,342
"The Aviator",213741459,1.1e+08,2004-12-17,194.310417272727,351
"Crouching Tiger, Hidden Dragon",213525736,1.7e+07,2000-12-08,1256.03374117647,342
"Braveheart",213216216,7.2e+07,1995-05-24,296.133633333333,143
"Into the Woods",213116401,5e+07,2014-12-25,426.232802,358
"Bedtime Stories",212874442,8e+07,2008-12-25,266.0930525,359
"Miss Congeniality",212742720,4.5e+07,2000-12-22,472.7616,356
"Entrapment",212404396,6.6e+07,1999-04-30,321.824842424242,119
"Master and Commander:The Far Side of the World",212011111,1.5e+08,2003-11-14,141.340740666667,317
"End of Days",211989043,1e+08,1999-11-24,211.989043,327
"Bridget Jones's Baby",211952420,3.5e+07,2016-09-16,605.578342857143,259
"Battle:Los Angeles",211819354,7e+07,2011-03-11,302.599077142857,69
"Fury (2014)",211817906,6.8e+07,2014-10-17,311.496920588235,289
"Due Date",211780824,6.5e+07,2010-11-05,325.816652307692,308
"Kingdom of Heaven",211652051,1.3e+08,2005-05-06,162.80927,125
"Australia",211342221,1.3e+08,2008-11-26,162.570939230769,330
"District 9",210819611,3e+07,2009-08-14,702.732036666667,225
"The Others",209947037,1.7e+07,2001-08-10,1234.98257058824,221
"Horrible Bosses",209638559,3.5e+07,2011-07-08,598.967311428571,188
"Red Dragon",209196298,7.8e+07,2002-10-04,268.200382051282,276
"Tomorrowland",209154322,1.9e+08,2015-05-22,110.081222105263,141
"Lemony Snicket's A Series of Unfortunate Events",209073645,1.4e+08,2004-12-17,149.338317857143,351
"Me Before You",208314186,2e+07,2016-06-03,1041.57093,154
"Safe House",208076205,8.5e+07,2012-02-10,244.795535294118,40
"S.W.A.T.",207725639,8e+07,2003-08-08,259.65704875,219
"The Fast and the Furious",207283925,3.8e+07,2001-06-22,545.484013157895,172
"Philadelphia",206678440,2.6e+07,1993-12-24,794.917076923077,357
"Sleepy Hollow",206071502,1e+08,1999-11-19,206.071502,322
"London Has Fallen",205908795,6e+07,2016-03-04,343.181325,63
"White House Down",205366737,1.5e+08,2013-06-28,136.911158,178
"The Ugly Truth",205298907,3.8e+07,2009-07-24,540.260281578947,204
"The Holiday",205135324,8.5e+07,2006-12-08,241.335675294118,341
"The Break-Up",204999686,5.2e+07,2006-06-02,394.230165384615,152
"Eat Pray Love",204594016,6e+07,2010-08-13,340.990026666667,224
"King Arthur",203567857,1.2e+08,2004-07-07,169.639880833333,188
"Everest (2015)",203427584,5.5e+07,2015-09-18,369.868334545455,260
"Vanilla Sky",203388341,6.8e+07,2001-12-14,299.100501470588,347
"Arrival",203388186,4.7e+07,2016-11-11,432.740821276596,315
"Need for Speed",203277636,6.6e+07,2014-03-14,307.996418181818,72
"Patch Adams",202292902,9e+07,1998-12-25,224.769891111111,358
"Fun with Dick and Jane",202026112,1e+08,2005-12-21,202.026112,354
"Teenage Mutant Ninja Turtles",201965915,1.3e+07,1990-03-30,1553.58396153846,88
"Kindergarten Cop",201957688,1.5e+07,1990-12-22,1346.38458666667,355
"Straight Outta Compton",201634991,2.8e+07,2015-08-14,720.124967857143,225
"21 Jump Street",201585328,4.2e+07,2012-03-16,479.965066666667,75
"Yogi Bear",201584141,8e+07,2010-12-17,251.98017625,350
"Garfield:The Movie",200804534,5e+07,2004-06-11,401.609068,162
"Cats & Dogs",200687492,6e+07,2001-07-04,334.479153333333,184
"The Hunt for Red October",200512643,3e+07,1990-03-02,668.375476666667,60
"Valkyrie",200276784,7.5e+07,2008-12-25,267.035712,359
